,DAX_open,DAX_high,DAX_low,DAX_close,DAX_adj_close,DAX_volume,VDAX_open,VDAX_high,VDAX_low,VDAX_close
4264,0.8105207648173913,0.8135413182338496,0.8143579878801892,0.812317770127067,0.812317770127067,0.18097791916879788,0.07779283069787171,0.07957251900118881,0.08523770517026882,0.08255360731705966
4265,0.8166694190611963,0.8184422986372859,0.8167818396421409,0.8209365064816398,0.8209365064816398,0.1808163846965723,0.07498470320158951,0.07378845817569613,0.0754006690884366,0.06516894678854385
4266,0.8276680981939775,0.8323836290994469,0.8318387008887447,0.8346685786291843,0.8346685786291843,0.19630932191553166,0.07013024903052739,0.06744320654126176,0.06625675352897992,0.056869709166809695
4267,0.83523507806363,0.83868044858714,0.8359387937263711,0.8410789083795713,0.8410789083795713,0.15664451201812427,0.05384337969422612,0.05208636916324283,0.06084513811855144,0.05428138789385392
4268,0.8486139479232533,0.8549707789461412,0.8531564249688204,0.8586554414198841,0.8586554414198841,0.1890566670215837,0.04869717201705678,0.045300569188455764,0.055199063334803594,0.046938583426992725
4269,0.8546993192810697,0.860991703882501,0.8586608846827699,0.861614888583986,0.861614888583986,0.15752019889387348,0.046919636766884903,0.045394100989946035,0.05637429094356711,0.04927360908874481
4270,0.860731883372569,0.8605457350893144,0.8631740467580575,0.8635292078433656,0.8635292078433656,0.14718725569935318,0.046280750616937094,0.04306393915281878,0.049991134504946355,0.041385457786833085
4271,0.8595458236914866,0.8574740060332495,0.8614580676973171,0.8594479293634094,0.8594479293634094,0.12889661429414093,0.04713169834308323,0.048368141170665735,0.058843441218837056,0.05317546880450008
4272,0.8549102907224657,0.8573800494424644,0.852835158408475,0.8495127653098533,0.8495127653098533,0.1333774752931203,0.05182136581162178,0.05723332931191774,0.055593248156196845,0.05804483470731209
4273,0.8494105218122654,0.8528204300534876,0.854002906880293,0.8543856717958618,0.8543856717958618,0.13891175157212718,0.05519138894929568,0.05186541722638899,0.05851226735402337,0.05070479849849685
4274,0.8538112127736615,0.8551542756214456,0.8524846700051381,0.8569647832150709,0.8569647832150709,0.15900498003895452,0.049080773849160736,0.04776492882772121,0.04090876453098599,0.03200936778522748
4275,0.8536415425713519,0.8611593535062196,0.8563146988554498,0.8626644879698484,0.8626644879698484,0.18802612567058063,0.03345980487633568,0.03022974934832734,0.03325952747644048,0.026672166272651288
